latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
21.33499,-158.04973,367,0.49,0.65,2024-08-10,00:28,N21,high,2.0NRT,301.62,13.51,D
42.79889,-80.09958,303.01,0.72,0.76,2024-08-10,06:05,N21,nominal,2.0NRT,285.81,3.79,N
42.79738,-80.09768,307.33,0.72,0.76,2024-08-10,06:05,N21,nominal,2.0NRT,285.24,5.01,N
42.80437,-80.08875,298.77,0.72,0.76,2024-08-10,06:05,N21,nominal,2.0NRT,285.35,4.01,N
42.80435,-80.10658,306.41,0.72,0.76,2024-08-10,06:05,N21,nominal,2.0NRT,285.17,5.01,N
42.80436,-80.0976,330.73,0.72,0.76,2024-08-10,06:05,N21,nominal,2.0NRT,287.2,5.01,N
42.81134,-80.09759,301.35,0.72,0.76,2024-08-10,06:05,N21,nominal,2.0NRT,285.42,2.1,N
43.25917,-79.81171,307.28,0.7,0.75,2024-08-10,06:05,N21,nominal,2.0NRT,286.73,3.43,N
43.26608,-79.81175,302.78,0.7,0.75,2024-08-10,06:05,N21,nominal,2.0NRT,287.64,1.83,N
43.27296,-79.80315,302.35,0.7,0.75,2024-08-10,06:05,N21,nominal,2.0NRT,287.28,4.87,N
43.27298,-79.81178,296.81,0.7,0.75,2024-08-10,06:05,N21,nominal,2.0NRT,286,1.83,N
45.73943,-73.53786,301.91,0.35,0.57,2024-08-10,06:05,N21,nominal,2.0NRT,288.18,1.23,N
45.73904,-73.53782,302.39,0.35,0.57,2024-08-10,06:05,N21,nominal,2.0NRT,287.98,1.13,N
43.49353,-79.62691,297.57,0.69,0.74,2024-08-10,06:05,N21,nominal,2.0NRT,287.01,0.91,N
43.29311,-79.98643,295.88,0.72,0.75,2024-08-10,06:05,N21,nominal,2.0NRT,285.6,0.89,N
43.25899,-79.80689,299.83,0.7,0.75,2024-08-10,06:05,N21,nominal,2.0NRT,286.19,2.88,N
43.26589,-79.8069,304.35,0.7,0.75,2024-08-10,06:05,N21,nominal,2.0NRT,287.78,2.88,N
40.39112,-79.86014,311.79,0.69,0.74,2024-08-10,06:08,N21,nominal,2.0NRT,288.56,3.02,N
40.47369,-75.89477,301.1,0.42,0.61,2024-08-10,06:08,N21,nominal,2.0NRT,290.1,0.68,N
40.39797,-79.8598,300.9,0.69,0.74,2024-08-10,06:08,N21,nominal,2.0NRT,287.45,3.02,N
40.39106,-79.852,310.85,0.69,0.74,2024-08-10,06:08,N21,nominal,2.0NRT,287.54,3.02,N
40.39703,-79.8576,315.25,0.69,0.74,2024-08-10,06:08,N21,nominal,2.0NRT,287.63,3.78,N
40.39008,-79.84969,300.89,0.69,0.74,2024-08-10,06:08,N21,nominal,2.0NRT,287.15,2.61,N
40.31282,-80.60744,300.89,0.75,0.77,2024-08-10,06:08,N21,nominal,2.0NRT,287.12,1.94,N
40.30866,-80.60587,297.97,0.75,0.77,2024-08-10,06:08,N21,nominal,2.0NRT,286.37,1.16,N
40.16362,-79.89237,298.82,0.69,0.74,2024-08-10,06:08,N21,nominal,2.0NRT,287.33,1.42,N
39.9459,-76.76871,300.59,0.46,0.64,2024-08-10,06:08,N21,nominal,2.0NRT,289.22,0.61,N
39.82333,-75.40404,305.92,0.39,0.59,2024-08-10,06:08,N21,nominal,2.0NRT,292.43,1.34,N
37.17987,-77.44995,308.27,0.48,0.65,2024-08-10,06:08,N21,nominal,2.0NRT,289.86,1.39,N
33.01099,-79.88651,314.91,0.62,0.72,2024-08-10,06:10,N21,nominal,2.0NRT,290.57,1.93,N
33.96043,-81.05103,295.21,0.74,0.76,2024-08-10,06:10,N21,nominal,2.0NRT,273.02,2.91,N
34.83609,-79.74269,300.42,0.63,0.72,2024-08-10,06:10,N21,nominal,2.0NRT,282.29,1.46,N
33.0125,-79.88712,315.16,0.62,0.71,2024-08-10,06:10,N21,nominal,2.0NRT,290.21,3.48,N
33.00415,-79.88017,303.43,0.62,0.71,2024-08-10,06:10,N21,nominal,2.0NRT,290.32,1.93,N
18.45683,-69.62073,308.19,0.39,0.36,2024-08-10,06:14,N21,nominal,2.0NRT,294.29,1.12,N
18.01495,-66.26458,306.97,0.45,0.39,2024-08-10,06:14,N21,nominal,2.0NRT,294.48,1.49,N
18.01849,-66.26393,324.99,0.45,0.39,2024-08-10,06:14,N21,nominal,2.0NRT,295.16,3.69,N
18.02275,-66.26756,312.92,0.45,0.39,2024-08-10,06:14,N21,nominal,2.0NRT,294.87,2.22,N
19.59677,-71.18888,310.71,0.42,0.38,2024-08-10,06:14,N21,nominal,2.0NRT,293.45,0.95,N
19.60022,-71.18835,316.42,0.42,0.38,2024-08-10,06:14,N21,nominal,2.0NRT,293.77,0.95,N
19.59975,-71.18932,328.01,0.42,0.38,2024-08-10,06:14,N21,nominal,2.0NRT,294,2.63,N
18.59278,-72.20935,308.17,0.45,0.39,2024-08-10,06:14,N21,nominal,2.0NRT,293.86,6.47,N
18.59219,-72.20509,331.83,0.45,0.39,2024-08-10,06:14,N21,nominal,2.0NRT,295.84,6.47,N
47.33929,-80.8795,300.13,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,282.84,2.61,N
47.33794,-80.85405,328.9,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,289.77,4.9,N
47.33914,-80.85995,326.67,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,286.55,4.9,N
47.3428,-80.87795,322.83,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,287.46,2.61,N
47.34025,-80.84659,296.19,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,283.17,1.96,N
47.34265,-80.85838,308.71,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,280.95,2.49,N
47.34631,-80.8764,315.61,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,285.46,2.32,N
47.34145,-80.85246,325.57,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,286.24,2.49,N
47.34375,-80.84496,316.17,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,286.64,1.96,N
47.34495,-80.85085,319.3,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,286.12,2.49,N
47.34616,-80.8568,302.85,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,281.26,2.49,N
47.34738,-80.8628,298.96,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,280,2.64,N
47.34982,-80.87483,303.85,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,283.87,2.32,N
47.34606,-80.83747,305.46,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,283.78,2.51,N
47.34967,-80.85524,303.48,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,283.56,2.09,N
47.34726,-80.84338,320.51,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,285.74,2.51,N
47.34846,-80.84928,324.77,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,288.64,2.09,N
47.35198,-80.84772,299.67,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,283.86,2.09,N
45.8407,-73.24554,301.2,0.36,0.57,2024-08-10,07:46,N21,nominal,2.0NRT,280.46,1.76,N
48.25243,-79.02174,326.2,0.53,0.42,2024-08-10,07:46,N21,nominal,2.0NRT,286.5,3.14,N
48.25182,-79.02309,319.39,0.53,0.42,2024-08-10,07:46,N21,nominal,2.0NRT,286.08,2.83,N
43.30965,-75.20413,296.51,0.34,0.56,2024-08-10,07:46,N21,nominal,2.0NRT,286.37,0.19,N
44.05635,-77.12279,296.86,0.53,0.5,2024-08-10,07:46,N21,nominal,2.0NRT,286.68,0.85,N
46.72969,-92.07814,310.43,0.52,0.41,2024-08-10,07:46,N21,nominal,2.0NRT,281.65,2.5,N
47.71144,-102.99683,295.6,0.57,0.69,2024-08-10,07:46,N21,nominal,2.0NRT,278.37,0.95,N
47.95178,-104.04556,302.4,0.64,0.72,2024-08-10,07:46,N21,nominal,2.0NRT,278.34,1.21,N
48.11331,-102.9082,297.92,0.56,0.69,2024-08-10,07:46,N21,nominal,2.0NRT,280.07,2.26,N
46.51472,-84.39693,318.47,0.4,0.37,2024-08-10,07:46,N21,nominal,2.0NRT,281.88,2.43,N
46.51777,-84.37434,295.13,0.4,0.37,2024-08-10,07:46,N21,nominal,2.0NRT,277.63,0.68,N
46.51865,-84.37939,297.77,0.4,0.37,2024-08-10,07:46,N21,nominal,2.0NRT,277.48,0.68,N
46.52105,-84.37315,301.01,0.4,0.37,2024-08-10,07:46,N21,nominal,2.0NRT,277.18,0.68,N
46.52192,-84.3782,305.85,0.4,0.37,2024-08-10,07:46,N21,nominal,2.0NRT,276.88,0.68,N
46.52433,-84.37196,301.21,0.4,0.37,2024-08-10,07:46,N21,nominal,2.0NRT,278.45,1.24,N
45.11195,-73.01041,303.5,0.39,0.59,2024-08-10,07:46,N21,nominal,2.0NRT,288.69,0.68,N
47.33104,-80.8766,298.38,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,281.51,1.54,N
47.33455,-80.87504,304.66,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,283.5,1.54,N
47.33578,-80.88106,302.08,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,281.34,1.71,N
47.33806,-80.87347,299.8,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,280.95,1.65,N
47.34158,-80.87192,295.65,0.47,0.4,2024-08-10,07:46,N21,nominal,2.0NRT,280.09,1.65,N
44.77956,-93.31259,295.67,0.55,0.43,2024-08-10,07:48,N21,nominal,2.0NRT,284.01,0.35,N
44.76474,-93.04083,299.16,0.54,0.42,2024-08-10,07:48,N21,nominal,2.0NRT,287.34,2.11,N
44.16623,-87.70112,303.02,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,283.88,0.92,N
44.85154,-93.00323,296.31,0.54,0.42,2024-08-10,07:48,N21,nominal,2.0NRT,286.28,1.45,N
42.80302,-80.10226,297.73,0.41,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,285.04,0.6,N
43.06972,-80.85492,307.04,0.57,0.43,2024-08-10,07:48,N21,nominal,2.0NRT,286.29,2.74,N
43.26165,-79.80626,310.08,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,288.82,2.04,N
43.26278,-79.81119,326.73,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,291.13,2.04,N
43.26563,-79.80454,301.77,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,289.14,2.04,N
43.26676,-79.80948,308.14,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,289.84,2.04,N
43.26961,-79.80282,306.1,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,289.21,1.61,N
43.27074,-79.80778,314.45,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,290.14,1.61,N
43.27359,-79.80108,305.33,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,289.78,1.61,N
43.27245,-79.79612,320.46,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,289.44,2.31,N
43.4932,-79.62578,300.48,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,286.59,0.66,N
43.86618,-79.50231,296.48,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,285.02,0.23,N
45.07031,-83.40446,326.29,0.43,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,288.33,4.02,N
39.43196,-77.97639,305.73,0.32,0.54,2024-08-10,07:48,N21,nominal,2.0NRT,291.29,1.07,N
40.57067,-83.13509,298.57,0.51,0.41,2024-08-10,07:48,N21,nominal,2.0NRT,286.17,1.19,N
40.72246,-84.12506,306.07,0.46,0.39,2024-08-10,07:48,N21,nominal,2.0NRT,288.88,1.43,N
42.21651,-94.89712,297.37,0.41,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,281.82,0.79,N
41.48134,-90.82363,304.86,0.42,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,286.92,1.35,N
41.46311,-90.68531,297.42,0.41,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,285.93,0.81,N
41.47922,-90.83437,314.38,0.42,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,283.72,1.13,N
40.93351,-87.3345,296.97,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,285.48,0.58,N
40.92771,-87.3409,300.7,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,285.85,1.02,N
41.13093,-80.69014,315.41,0.42,0.46,2024-08-10,07:48,N21,nominal,2.0NRT,288.19,1.73,N
41.0882,-88.80851,298.16,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,284.39,0.41,N
39.73065,-82.14845,301.6,0.39,0.44,2024-08-10,07:48,N21,nominal,2.0NRT,283.32,1.15,N
39.33305,-81.36262,306.49,0.43,0.46,2024-08-10,07:48,N21,nominal,2.0NRT,283.52,1.49,N
39.36492,-81.52693,299.06,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,288.81,0.67,N
38.77961,-79.39507,300.28,0.56,0.51,2024-08-10,07:48,N21,nominal,2.0NRT,288.88,1.27,N
38.77736,-79.39707,303.52,0.56,0.51,2024-08-10,07:48,N21,nominal,2.0NRT,288.91,1.06,N
40.0534,-86.5648,296.04,0.4,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,283.57,0.42,N
40.70971,-90.86737,308.54,0.41,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,283.04,1.29,N
39.97841,-86.83846,301.47,0.4,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,286.3,1.78,N
39.97511,-86.83943,321.98,0.4,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,286.98,1.78,N
39.97432,-86.83485,320.42,0.4,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,288.7,1.78,N
39.48473,-84.36005,306.42,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,288.38,1.3,N
39.48641,-84.38802,316.12,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,289.32,1.28,N
39.48285,-84.38919,303.91,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,286.83,1.28,N
39.48181,-84.38383,302.79,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.45,2.11,N
39.47428,-84.4034,299.93,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,289.09,0.91,N
39.47113,-84.38735,310.44,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.34,1.13,N
39.47009,-84.382,303.97,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.02,1.13,N
39.46968,-84.39924,298.97,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,288.5,1.16,N
39.46758,-84.38852,298.03,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,286.66,1.13,N
39.46654,-84.38319,301.1,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,286.27,1.13,N
39.52654,-86.38041,304.07,0.41,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,285.99,1.27,N
39.41873,-86.1152,295.69,0.42,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,284.23,0.39,N
40.72811,-75.30172,300.36,0.4,0.6,2024-08-10,07:48,N21,nominal,2.0NRT,289.93,0.57,N
40.71419,-75.40002,304.8,0.4,0.6,2024-08-10,07:48,N21,nominal,2.0NRT,290.14,1.16,N
42.31276,-82.04871,304.31,0.52,0.42,2024-08-10,07:48,N21,nominal,2.0NRT,285.31,1.3,N
41.77883,-79.78554,307.23,0.45,0.47,2024-08-10,07:48,N21,nominal,2.0NRT,285.28,1.18,N
41.77986,-79.78558,307.02,0.45,0.47,2024-08-10,07:48,N21,nominal,2.0NRT,285.37,1.13,N
42.30602,-83.15708,298.04,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.52,0.59,N
42.29779,-83.15405,305.55,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,289.58,1.45,N
42.29761,-83.17212,300.53,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,286.79,1.02,N
42.29293,-83.16782,301.65,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,286.97,1.26,N
42.29181,-83.16224,309.68,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.69,1.26,N
42.28165,-83.11177,315.53,0.48,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,289.51,2.06,N
42.27793,-83.1312,297.78,0.48,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.31,0.96,N
42.2768,-83.12559,302.41,0.48,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.09,0.84,N
42.29123,-83.16285,316.17,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.73,1.4,N
42.28128,-83.11227,318.94,0.48,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,289.25,1.66,N
42.27638,-83.12612,308.89,0.48,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.72,1.36,N
40.6699,-76.37942,299.12,0.36,0.57,2024-08-10,07:48,N21,nominal,2.0NRT,287.94,0.32,N
42.27205,-83.43121,295.28,0.46,0.39,2024-08-10,07:48,N21,nominal,2.0NRT,285.03,0.34,N
42.26609,-83.43922,301.65,0.46,0.39,2024-08-10,07:48,N21,nominal,2.0NRT,285.94,0.5,N
40.47174,-75.89293,306.54,0.38,0.59,2024-08-10,07:48,N21,nominal,2.0NRT,291.23,0.8,N
40.89287,-77.70876,297.09,0.6,0.53,2024-08-10,07:48,N21,nominal,2.0NRT,287,0.8,N
42.08999,-83.42271,299.16,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,285.67,0.69,N
41.21498,-80.50927,298.79,0.43,0.46,2024-08-10,07:48,N21,nominal,2.0NRT,287.71,1.51,N
41.20753,-80.81747,305.41,0.42,0.45,2024-08-10,07:48,N21,nominal,2.0NRT,288.77,0.77,N
41.73082,-83.51909,298.85,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,285.53,0.58,N
40.73315,-86.43609,311.2,0.4,0.37,2024-08-10,07:48,N21,nominal,2.0NRT,286.61,0.84,N
42.48092,-87.88416,297.61,0.38,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,284.16,0.46,N
41.67941,-83.45553,299.72,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,289.42,0.9,N
41.63161,-83.50211,302.35,0.47,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,290.12,1.13,N
39.96533,-76.59615,304.36,0.36,0.58,2024-08-10,07:48,N21,nominal,2.0NRT,288.88,0.49,N
42.31805,-88.02579,297.19,0.38,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,284.79,0.27,N
41.46674,-83.36515,316.69,0.48,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,288.51,2.32,N
41.45959,-83.3677,305.09,0.48,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,286.99,1.77,N
41.56846,-84.04713,329.74,0.45,0.39,2024-08-10,07:48,N21,nominal,2.0NRT,290.19,4.41,N
41.56947,-84.05242,304.51,0.45,0.39,2024-08-10,07:48,N21,nominal,2.0NRT,288.43,1.13,N
41.56744,-84.04181,306.76,0.45,0.39,2024-08-10,07:48,N21,nominal,2.0NRT,286.46,4.41,N
41.56598,-84.05362,296.38,0.45,0.39,2024-08-10,07:48,N21,nominal,2.0NRT,286.37,1.13,N
40.67382,-80.33741,306.95,0.45,0.47,2024-08-10,07:48,N21,nominal,2.0NRT,290.38,1.69,N
41.4123,-88.18517,301.14,0.38,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,288.97,0.91,N
40.67095,-80.33972,300.9,0.45,0.47,2024-08-10,07:48,N21,nominal,2.0NRT,288.78,1.32,N
41.22412,-83.20596,316.02,0.49,0.4,2024-08-10,07:48,N21,nominal,2.0NRT,287.27,3.24,N
40.77707,-81.39749,301.02,0.4,0.44,2024-08-10,07:48,N21,nominal,2.0NRT,285.5,0.77,N
40.7556,-81.43561,305.85,0.4,0.44,2024-08-10,07:48,N21,nominal,2.0NRT,287.01,1.28,N
40.7546,-81.43108,298.98,0.4,0.44,2024-08-10,07:48,N21,nominal,2.0NRT,286.16,0.52,N
40.75269,-81.4417,299.3,0.4,0.44,2024-08-10,07:48,N21,nominal,2.0NRT,286.74,1.28,N
42.14202,-89.08279,304.29,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,283.72,0.96,N
42.14133,-89.07809,295.29,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,283.83,0.83,N
41.95293,-88.14285,298.05,0.38,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,284.01,0.57,N
41.37211,-84.92319,305.51,0.43,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,289.29,1.31,N
41.37118,-84.91819,300.27,0.43,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,288.34,1.31,N
41.37026,-84.91318,303.19,0.43,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,288.02,1.51,N
41.36871,-84.92432,309.03,0.43,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,287.27,1.31,N
41.36437,-84.92043,326.81,0.43,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,287.1,1.99,N
41.3653,-84.92544,300.11,0.43,0.38,2024-08-10,07:48,N21,nominal,2.0NRT,285.76,1.99,N
41.86915,-87.88978,299.72,0.38,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,285.97,0.32,N
39.56053,-77.17191,314.11,0.35,0.57,2024-08-10,07:48,N21,nominal,2.0NRT,291.19,1.64,N
39.55848,-77.17416,305.77,0.35,0.57,2024-08-10,07:48,N21,nominal,2.0NRT,290.51,1.63,N
41.64086,-87.13173,325.89,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.83,3.08,N
41.63759,-87.13269,316.98,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.3,3.08,N
41.68205,-87.42586,332.01,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,291.21,4.63,N
41.63583,-87.14279,343.19,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,290.89,7.46,N
41.68132,-87.4213,310.03,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,292.21,1.59,N
41.68058,-87.41673,308.8,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,291.43,1.59,N
41.63507,-87.13821,305.78,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,287.93,2.6,N
41.63181,-87.13917,330.57,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.41,2.6,N
41.67731,-87.41768,316.62,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,292.81,1.59,N
41.67627,-87.4323,323.32,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.31,1.58,N
41.673,-87.43323,311.58,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,288.92,1.58,N
41.62603,-87.14566,313.52,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.47,1.24,N
41.67343,-87.45696,313.85,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,287.84,1.74,N
41.6709,-87.46246,328,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,288.96,1.74,N
41.68559,-87.55347,301.94,0.38,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.32,0.63,N
41.67016,-87.4579,308.49,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,287.9,1.74,N
41.66942,-87.45335,315.8,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,288.25,2.42,N
41.66805,-87.48711,300.1,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.31,0.98,N
41.66332,-87.47894,303.58,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,290.76,1.16,N
40.31142,-80.60944,324.63,0.45,0.47,2024-08-10,07:48,N21,nominal,2.0NRT,289.85,3.27,N
40.31026,-80.60442,313.04,0.45,0.47,2024-08-10,07:48,N21,nominal,2.0NRT,290.89,3.16,N
41.64171,-87.40885,331.95,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,292.84,4.47,N
41.62583,-87.3323,306.03,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,291.63,1.5,N
41.62181,-87.32869,326.01,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,288.8,1.5,N
41.62925,-87.37428,305.57,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,288.57,2.02,N
41.62851,-87.36972,308.63,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.48,1.56,N
41.62776,-87.36516,309.2,0.39,0.36,2024-08-10,07:48,N21,nominal,2.0NRT,289.76,1.56,N
