latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
48.18795,-64.92103,302.29,0.39,0.36,2024-08-14,06:29,N21,nominal,2.0NRT,284.48,1.2,N
48.42456,-71.1766,295.47,0.46,0.39,2024-08-14,06:29,N21,nominal,2.0NRT,280.75,0.38,N
41.76321,-74.77821,298.48,0.54,0.42,2024-08-14,06:31,N21,nominal,2.0NRT,288.3,1.01,N
46.37118,-72.38646,299.22,0.49,0.4,2024-08-14,06:31,N21,nominal,2.0NRT,288.43,0.86,N
45.27997,-66.01505,298.98,0.39,0.36,2024-08-14,06:31,N21,nominal,2.0NRT,288.64,1.44,N
46.04531,-73.14319,310.06,0.51,0.41,2024-08-14,06:31,N21,nominal,2.0NRT,291.5,2.82,N
46.04153,-73.14398,303.07,0.51,0.41,2024-08-14,06:31,N21,nominal,2.0NRT,289.93,0.73,N
46.57474,-80.79845,298.93,0.39,0.6,2024-08-14,06:31,N21,nominal,2.0NRT,286.76,0.85,N
46.48958,-81.03111,297.97,0.4,0.6,2024-08-14,06:31,N21,nominal,2.0NRT,287.8,1.62,N
46.48402,-81.03157,305.12,0.4,0.6,2024-08-14,06:31,N21,nominal,2.0NRT,285.91,1.62,N
46.52411,-84.37473,302.12,0.59,0.7,2024-08-14,06:31,N21,nominal,2.0NRT,286.57,2.33,N
46.51773,-84.39026,325.33,0.59,0.7,2024-08-14,06:31,N21,nominal,2.0NRT,285.52,5.89,N
46.51777,-84.39786,318.43,0.59,0.7,2024-08-14,06:31,N21,nominal,2.0NRT,285.6,5.89,N
46.51769,-84.38258,316.83,0.59,0.7,2024-08-14,06:31,N21,nominal,2.0NRT,285.55,2.33,N
46.51765,-84.37481,303.29,0.59,0.7,2024-08-14,06:31,N21,nominal,2.0NRT,287.16,2.33,N
45.81977,-73.26602,308.62,0.52,0.41,2024-08-14,06:31,N21,nominal,2.0NRT,290.2,1.79,N
45.78242,-73.91002,303.51,0.55,0.43,2024-08-14,06:31,N21,nominal,2.0NRT,287.2,0.93,N
45.61602,-74.70379,298.33,0.39,0.44,2024-08-14,06:31,N21,nominal,2.0NRT,287.8,0.8,N
45.33866,-73.52603,301.79,0.52,0.42,2024-08-14,06:31,N21,nominal,2.0NRT,289.4,1.2,N
45.34009,-73.52599,300.76,0.52,0.42,2024-08-14,06:31,N21,nominal,2.0NRT,289.36,0.93,N
45.97192,-85.8798,295.66,0.69,0.74,2024-08-14,06:31,N21,nominal,2.0NRT,284.6,0.58,N
45.30474,-74.99503,297.18,0.4,0.44,2024-08-14,06:31,N21,nominal,2.0NRT,286.68,0.76,N
45.069,-83.40776,314.99,0.52,0.67,2024-08-14,06:31,N21,nominal,2.0NRT,289.87,3.81,N
44.07751,-79.53486,295.14,0.32,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,284.26,0.68,N
44.07728,-79.53072,297.62,0.32,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,284.03,0.68,N
44.07221,-79.5312,295.32,0.32,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,283.99,0.29,N
43.49327,-79.6262,304.7,0.32,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,289.15,0.7,N
43.48943,-79.62514,306.59,0.32,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,288.81,0.85,N
43.00829,-74.16046,298.1,0.52,0.42,2024-08-14,06:31,N21,nominal,2.0NRT,285.95,0.32,N
43.29086,-79.98471,303.61,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,287.65,1.12,N
43.27292,-79.79719,336.94,0.33,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,290.77,3.36,N
43.27316,-79.80123,306.35,0.33,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,290.46,4.85,N
43.26829,-79.80577,350.99,0.33,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,293.84,4.85,N
43.26853,-79.80985,315.9,0.33,0.55,2024-08-14,06:31,N21,nominal,2.0NRT,290.95,5.39,N
43.07045,-80.85792,307.19,0.37,0.58,2024-08-14,06:31,N21,nominal,2.0NRT,286.68,1.54,N
42.96613,-81.87191,298.63,0.42,0.61,2024-08-14,06:31,N21,nominal,2.0NRT,286.26,0.77,N
42.94726,-82.42616,306.76,0.45,0.63,2024-08-14,06:31,N21,nominal,2.0NRT,288.59,1.92,N
42.94706,-82.42059,300.73,0.45,0.63,2024-08-14,06:31,N21,nominal,2.0NRT,289.53,2.75,N
42.94107,-82.41537,301.16,0.45,0.63,2024-08-14,06:31,N21,nominal,2.0NRT,286.79,1.04,N
42.93042,-82.44368,300.99,0.45,0.63,2024-08-14,06:31,N21,nominal,2.0NRT,289.52,1.15,N
42.81052,-80.09269,333.85,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,290.56,3.83,N
42.81075,-80.09684,313.77,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,288.88,2.56,N
42.80559,-80.09737,328.86,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,290.75,2.3,N
42.80582,-80.10155,306.27,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,288.08,2.3,N
42.80537,-80.09322,298.43,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,288.4,1.6,N
42.90157,-82.45097,299.46,0.45,0.63,2024-08-14,06:31,N21,nominal,2.0NRT,288.41,1.19,N
42.80089,-80.10627,306.79,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,287.74,2.09,N
42.80067,-80.1021,314.57,0.34,0.56,2024-08-14,06:31,N21,nominal,2.0NRT,289.09,2.3,N
42.8147,-81.32623,302.6,0.39,0.59,2024-08-14,06:31,N21,nominal,2.0NRT,286.45,0.89,N
42.77455,-82.48437,300.85,0.45,0.63,2024-08-14,06:31,N21,nominal,2.0NRT,287.41,0.77,N
42.77484,-82.48495,298.55,0.45,0.63,2024-08-14,06:31,N21,nominal,2.0NRT,287.06,0.72,N
41.74795,-71.10719,302.79,0.4,0.37,2024-08-14,06:31,N21,nominal,2.0NRT,288.56,0.63,N
42.30967,-82.05,299.12,0.42,0.61,2024-08-14,06:31,N21,nominal,2.0NRT,286.87,1.23,N
42.28223,-83.11262,308.29,0.48,0.65,2024-08-14,06:31,N21,nominal,2.0NRT,289.37,1.43,N
42.27675,-83.13061,298.84,0.48,0.65,2024-08-14,06:31,N21,nominal,2.0NRT,288.16,0.57,N
42.28539,-83.1154,304.21,0.48,0.65,2024-08-14,06:31,N21,nominal,2.0NRT,287.85,0.99,N
41.79801,-75.82635,296.43,0.4,0.44,2024-08-14,06:31,N21,nominal,2.0NRT,285.43,0.49,N
41.67693,-83.45587,300.09,0.5,0.66,2024-08-14,06:31,N21,nominal,2.0NRT,288.59,1.93,N
41.63917,-87.13628,324.25,0.78,0.78,2024-08-14,06:31,N21,nominal,2.0NRT,289.41,6.87,N
41.63914,-87.14586,315.99,0.78,0.78,2024-08-14,06:31,N21,nominal,2.0NRT,288.58,5.45,N
