latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
48.18849,-64.91982,296.88,0.67,0.74,2024-08-13,05:08,N21,nominal,2.0NRT,284.39,1.43,N
48.18946,-64.92255,298.18,0.67,0.74,2024-08-13,05:08,N21,nominal,2.0NRT,284.34,1.58,N
43.25993,-79.80786,314.96,0.38,0.43,2024-08-13,06:50,N21,nominal,2.0NRT,289.27,1.31,N
43.26391,-79.80715,311.86,0.38,0.43,2024-08-13,06:50,N21,nominal,2.0NRT,289.9,2.63,N
43.2679,-79.80643,338.62,0.38,0.43,2024-08-13,06:50,N21,nominal,2.0NRT,290.54,2.63,N
43.27096,-79.7963,301.53,0.38,0.43,2024-08-13,06:50,N21,nominal,2.0NRT,287.94,1.04,N
43.28944,-79.98552,297.52,0.39,0.44,2024-08-13,06:50,N21,nominal,2.0NRT,286.07,1.03,N
43.27494,-79.7956,316.83,0.38,0.43,2024-08-13,06:50,N21,nominal,2.0NRT,290.49,1.04,N
43.15643,-77.92714,298.21,0.48,0.4,2024-08-13,06:50,N21,nominal,2.0NRT,284.91,0.76,N
43.49281,-79.62483,303.1,0.57,0.43,2024-08-13,06:50,N21,nominal,2.0NRT,287.82,1.16,N
45.07091,-83.40476,315.75,0.6,0.53,2024-08-13,06:50,N21,nominal,2.0NRT,289.08,3.7,N
45.07357,-83.40584,313.99,0.6,0.53,2024-08-13,06:50,N21,nominal,2.0NRT,287.88,3.96,N
45.11103,-73.01169,297.29,0.39,0.36,2024-08-13,06:50,N21,nominal,2.0NRT,285.65,0.75,N
45.33826,-73.52521,304.32,0.39,0.36,2024-08-13,06:50,N21,nominal,2.0NRT,286.96,0.85,N
45.6143,-74.70363,304.26,0.41,0.37,2024-08-13,06:50,N21,nominal,2.0NRT,285.95,1.13,N
46.51486,-84.39323,299.36,0.34,0.56,2024-08-13,06:50,N21,nominal,2.0NRT,267.37,1.41,N
46.51508,-84.39768,304.8,0.34,0.56,2024-08-13,06:50,N21,nominal,2.0NRT,266.17,1.32,N
46.51589,-84.39567,318.22,0.34,0.56,2024-08-13,06:50,N21,nominal,2.0NRT,267.41,2.19,N
46.52029,-84.37717,318.85,0.34,0.56,2024-08-13,06:50,N21,nominal,2.0NRT,272.16,1.88,N
46.52048,-84.38171,303.37,0.34,0.56,2024-08-13,06:50,N21,nominal,2.0NRT,269.16,1.47,N
46.52527,-84.37213,300.73,0.34,0.56,2024-08-13,06:50,N21,nominal,2.0NRT,270.1,1.88,N
46.48927,-81.03076,325.72,0.47,0.48,2024-08-13,06:50,N21,nominal,2.0NRT,289.51,4.31,N
45.78255,-73.90977,306.92,0.4,0.37,2024-08-13,06:50,N21,nominal,2.0NRT,285.85,0.72,N
