latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.83545,-73.2514,313.35,0.58,0.7,2024-08-11,05:46,N21,nominal,2.0NRT,285.13,2.23,N
45.83471,-73.25037,309.92,0.58,0.7,2024-08-11,05:46,N21,nominal,2.0NRT,285.09,2.03,N
45.7802,-73.91372,295.35,0.63,0.72,2024-08-11,05:46,N21,nominal,2.0NRT,283.29,0.45,N
45.64231,-73.52473,298.78,0.6,0.7,2024-08-11,05:46,N21,nominal,2.0NRT,285.95,1.18,N
45.979,-66.85989,319.72,0.56,0.52,2024-08-11,05:46,N21,nominal,2.0NRT,287.78,1.98,N
40.63504,-74.22462,306.17,0.62,0.71,2024-08-11,05:48,N21,nominal,2.0NRT,291.53,3.29,N
40.63655,-74.22472,304.81,0.62,0.71,2024-08-11,05:48,N21,nominal,2.0NRT,291.11,2.85,N
20.09046,-75.26977,304.45,0.48,0.65,2024-08-11,05:53,N21,nominal,2.0NRT,292.6,0.68,N
19.46409,-70.78741,312.95,0.47,0.48,2024-08-11,05:53,N21,nominal,2.0NRT,291.25,1.69,N
18.68911,-70.71843,312.87,0.46,0.47,2024-08-11,05:53,N21,nominal,2.0NRT,286.75,2.94,N
48.42411,-71.17294,295.79,0.46,0.47,2024-08-11,07:26,N21,nominal,2.0NRT,285.02,0.51,N
43.86604,-79.49994,307.76,0.42,0.38,2024-08-11,07:29,N21,nominal,2.0NRT,284.05,0.69,N
42.49474,-73.81462,301.27,0.5,0.49,2024-08-11,07:29,N21,nominal,2.0NRT,287.63,1.18,N
42.95491,-76.5748,295.32,0.55,0.42,2024-08-11,07:29,N21,nominal,2.0NRT,284.72,0.25,N
43.07944,-77.38017,301.93,0.5,0.41,2024-08-11,07:29,N21,nominal,2.0NRT,287.03,0.47,N
43.49247,-79.62464,304.05,0.42,0.38,2024-08-11,07:29,N21,nominal,2.0NRT,287.32,0.8,N
42.9215,-76.83713,296.36,0.53,0.42,2024-08-11,07:29,N21,nominal,2.0NRT,286.29,0.51,N
43.2747,-79.79684,340.52,0.42,0.38,2024-08-11,07:29,N21,nominal,2.0NRT,290.39,3.18,N
43.27591,-79.82318,326.55,0.42,0.37,2024-08-11,07:29,N21,nominal,2.0NRT,286.81,1.28,N
